iter	Passed	Remaining
0	0	520
1	0	413
2	1	404
3	1	382
4	1	361
5	2	352
6	2	352
7	2	346
8	3	342
9	3	333
10	3	328
11	3	317
12	4	312
13	4	313
14	4	312
15	5	311
16	5	308
17	5	306
18	5	303
19	6	300
20	6	295
21	6	293
22	6	295
23	7	294
24	7	292
25	7	292
26	8	294
27	8	294
28	8	293
29	9	292
30	9	291
31	9	294
32	10	295
33	10	294
34	10	295
35	11	295
36	11	291
37	11	290
38	11	289
39	12	289
40	12	288
41	12	287
42	12	286
43	13	285
44	13	285
45	13	286
46	14	285
47	14	284
48	14	284
49	14	283
50	15	282
51	15	282
52	15	282
53	16	282
54	16	282
55	16	282
56	17	283
57	17	283
58	17	282
59	18	282
60	18	281
61	18	280
62	18	278
63	19	278
64	19	277
65	19	276
66	19	275
67	20	274
68	20	271
69	20	270
70	20	268
71	20	267
72	21	267
73	21	266
74	21	267
75	21	266
76	22	266
77	22	266
78	22	266
79	23	266
80	23	265
81	23	264
82	23	265
83	24	265
84	24	265
85	24	264
86	25	264
87	25	262
88	25	261
89	25	261
90	26	260
91	26	260
92	26	259
93	26	258
94	27	258
95	27	257
96	27	257
97	27	256
98	28	256
99	28	256
100	28	255
101	28	255
102	29	254
103	29	253
104	29	254
105	30	255
106	30	255
107	30	254
108	31	254
109	31	253
110	31	253
111	31	252
112	32	252
113	32	252
114	32	251
115	32	250
116	33	250
117	33	249
118	33	249
119	33	249
120	34	248
121	34	249
122	34	248
123	35	248
124	35	247
125	35	247
126	35	246
127	36	246
128	36	245
129	36	245
130	36	245
131	37	244
132	37	244
133	37	244
134	38	243
135	38	243
136	38	243
137	38	242
138	39	242
139	39	241
140	39	241
141	39	241
142	40	240
143	40	240
144	40	239
145	40	239
146	41	238
147	41	238
148	41	238
149	42	238
150	42	237
151	42	237
152	42	237
153	43	237
154	43	237
155	43	237
156	44	236
157	44	236
158	44	236
159	44	236
160	45	235
161	45	235
162	45	235
163	46	234
164	46	234
165	46	234
166	46	234
167	47	233
168	47	233
169	47	233
170	48	233
171	48	233
172	48	233
173	49	233
174	49	233
175	49	233
176	50	233
177	50	232
178	50	232
179	50	232
180	51	231
181	51	231
182	51	231
183	52	230
184	52	230
185	52	229
186	52	229
187	53	229
188	53	228
189	53	228
190	53	227
191	54	227
192	54	227
193	54	226
194	54	226
195	55	226
196	55	225
197	55	225
198	55	224
199	56	224
200	56	224
201	56	223
202	56	223
203	57	223
204	57	222
205	57	222
206	57	221
207	58	221
208	58	221
209	58	220
210	58	220
211	59	220
212	59	220
213	60	220
214	60	220
215	60	219
216	60	219
217	61	219
218	61	219
219	61	218
220	61	218
221	62	218
222	62	217
223	62	217
224	63	217
225	63	216
226	63	216
227	63	216
228	64	216
229	64	215
230	64	215
231	64	215
232	65	214
233	65	214
234	65	213
235	65	213
236	66	213
237	66	213
238	66	212
239	67	212
240	67	211
241	67	211
242	67	211
243	68	210
244	68	210
245	68	210
246	68	210
247	69	209
248	69	209
249	69	209
250	69	208
251	70	208
252	70	208
253	70	207
254	71	207
255	71	207
256	71	207
257	72	207
258	72	206
259	72	206
260	72	206
261	73	206
262	73	205
263	73	205
264	74	205
265	74	204
266	74	204
267	74	204
268	75	203
269	75	203
270	75	203
271	75	203
272	76	202
273	76	202
274	76	202
275	76	201
276	77	201
277	77	201
278	77	200
279	77	200
280	78	199
281	78	199
282	78	199
283	78	198
284	79	198
285	79	198
286	79	197
287	79	197
288	80	197
289	80	196
290	80	196
291	80	196
292	81	195
293	81	195
294	81	194
295	81	194
296	82	194
297	82	193
298	82	193
299	82	193
300	83	193
301	83	192
302	83	192
303	83	192
304	84	191
305	84	191
306	84	191
307	85	191
308	85	190
309	85	190
310	85	190
311	86	189
312	86	189
313	86	189
314	86	189
315	87	188
316	87	188
317	87	188
318	87	187
319	88	187
320	88	187
321	88	186
322	88	186
323	89	186
324	89	185
325	89	185
326	90	185
327	90	184
328	90	184
329	90	184
330	90	183
331	91	183
332	91	183
333	91	183
334	92	182
335	92	182
336	92	182
337	93	182
338	93	182
339	93	182
340	94	181
341	94	181
342	94	181
343	94	180
344	95	180
345	95	180
346	95	179
347	95	179
348	96	179
349	96	179
350	96	178
351	97	178
352	97	178
353	97	178
354	97	177
355	98	177
356	98	177
357	98	176
358	98	176
359	99	176
360	99	176
361	99	175
362	99	175
363	100	175
364	100	174
365	100	174
366	101	174
367	101	173
368	101	173
369	101	173
370	102	173
371	102	172
372	102	172
373	102	172
374	103	171
375	103	171
376	103	171
377	103	170
378	104	170
379	104	170
380	104	170
381	104	169
382	105	169
383	105	169
384	105	168
385	106	168
386	106	168
387	106	168
388	106	167
389	107	167
390	107	167
391	107	166
392	107	166
393	108	166
394	108	165
395	108	165
396	108	165
397	109	165
398	109	164
399	109	164
400	110	164
401	110	164
402	110	163
403	110	163
404	111	163
405	111	163
406	111	162
407	112	162
408	112	162
409	113	162
410	113	162
411	113	162
412	113	161
413	114	161
414	114	161
415	114	160
416	114	160
417	115	160
418	115	159
419	115	159
420	115	159
421	116	159
422	116	158
423	116	158
424	116	158
425	117	157
426	117	157
427	117	157
428	117	157
429	118	156
430	118	156
431	118	156
432	119	155
433	119	155
434	119	155
435	119	155
436	120	154
437	120	154
438	120	154
439	120	153
440	121	153
441	121	153
442	121	153
443	121	152
444	122	152
445	122	152
446	122	152
447	123	151
448	123	151
449	123	151
450	123	150
451	124	150
452	124	150
453	124	149
454	124	149
455	125	149
456	125	149
457	125	148
458	126	148
459	126	148
460	126	148
461	127	148
462	127	147
463	127	147
464	128	147
465	128	147
466	128	146
467	129	146
468	129	146
469	129	146
470	129	145
471	130	145
472	130	145
473	130	144
474	130	144
475	131	144
476	131	143
477	131	143
478	131	143
479	132	143
480	132	142
481	132	142
482	132	142
483	133	141
484	133	141
485	133	141
486	133	141
487	134	140
488	134	140
489	134	140
490	135	140
491	135	139
492	135	139
493	135	139
494	136	138
495	136	138
496	136	138
497	137	138
498	137	137
499	137	137
500	137	137
501	138	136
502	138	136
503	138	136
504	138	136
505	139	135
506	139	135
507	139	135
508	139	134
509	140	134
510	140	134
511	140	134
512	140	133
513	141	133
514	141	133
515	141	132
516	141	132
517	142	132
518	142	132
519	142	131
520	143	131
521	143	131
522	143	130
523	143	130
524	144	130
525	144	130
526	144	129
527	145	129
528	145	129
529	145	129
530	145	128
531	146	128
532	146	128
533	146	127
534	146	127
535	147	127
536	147	127
537	148	127
538	148	126
539	148	126
540	148	126
541	149	126
542	149	125
543	149	125
544	149	125
545	150	124
546	150	124
547	150	124
548	150	123
549	151	123
550	151	123
551	151	123
552	151	122
553	152	122
554	152	122
555	152	121
556	152	121
557	153	121
558	153	121
559	153	120
560	153	120
561	154	120
562	154	119
563	154	119
564	155	119
565	155	119
566	155	118
567	155	118
568	156	118
569	156	117
570	156	117
571	156	117
572	157	117
573	157	116
574	157	116
575	157	116
576	158	115
577	158	115
578	158	115
579	158	115
580	159	114
581	159	114
582	159	114
583	160	114
584	160	113
585	160	113
586	160	113
587	161	112
588	161	112
589	161	112
590	161	112
591	162	111
592	162	111
593	162	111
594	162	110
595	163	110
596	163	110
597	163	110
598	163	109
599	164	109
600	164	109
601	164	108
602	164	108
603	165	108
604	165	108
605	165	107
606	165	107
607	166	107
608	166	106
609	166	106
610	166	106
611	167	106
612	167	105
613	167	105
614	168	105
615	168	104
616	168	104
617	168	104
618	169	104
619	169	103
620	169	103
621	169	103
622	170	102
623	170	102
624	170	102
625	170	102
626	171	101
627	171	101
628	171	101
629	172	101
630	172	100
631	172	100
632	173	100
633	173	100
634	173	99
635	174	99
636	174	99
637	174	99
638	174	98
639	175	98
640	175	98
641	175	98
642	176	97
643	176	97
644	176	97
645	176	96
646	177	96
647	177	96
648	177	96
649	177	95
650	178	95
651	178	95
652	178	95
653	179	94
654	179	94
655	179	94
656	179	93
657	180	93
658	180	93
659	180	93
660	180	92
661	181	92
662	181	92
663	181	91
664	181	91
665	182	91
666	182	91
667	182	90
668	182	90
669	183	90
670	183	90
671	183	89
672	184	89
673	184	89
674	184	89
675	185	88
676	185	88
677	185	88
678	185	87
679	186	87
680	186	87
681	186	87
682	186	86
683	187	86
684	187	86
685	187	85
686	187	85
687	188	85
688	188	85
689	188	84
690	188	84
691	189	84
692	189	83
693	189	83
694	189	83
695	190	83
696	190	82
697	190	82
698	190	82
699	191	81
700	191	81
701	191	81
702	192	81
703	192	80
704	192	80
705	192	80
706	193	80
707	193	79
708	193	79
709	193	79
710	194	78
711	194	78
712	194	78
713	194	78
714	195	77
715	195	77
716	195	77
717	195	76
718	196	76
719	196	76
720	196	76
721	197	75
722	197	75
723	197	75
724	197	75
725	198	74
726	198	74
727	198	74
728	199	74
729	199	73
730	199	73
731	200	73
732	200	72
733	200	72
734	201	72
735	201	72
736	201	71
737	201	71
738	202	71
739	202	71
740	202	70
741	202	70
742	203	70
743	203	70
744	203	69
745	203	69
